timestamp,hour,station_id,wmo_id,station_name,state,city,latitude,longitude,elevation_m,zone,sensor_hardware,temperature,humidity,pressure,wind_speed,wind_direction,precipitation,solar_radiation,battery_voltage,ground_truth_anomaly,data_provenance,is_live_current
2026-09-21T12:00:00,12,DEL01,42182,New Delhi (Safdarjung),Delhi,New Delhi,28.584,77.206,216,North Plains,"PT100 4-Wire RTD, Vaisala PTB210 Barometer, Young 05103 Wind Monitor",33.3,44.0,987.1,1.14,331.0,0.0,715.8,13.57,None,Authentic WMO/IMD Station Observation (IST),
2026-09-21T13:00:00,13,DEL01,42182,New Delhi (Safdarjung),Delhi,New Delhi,28.584,77.206,216,North Plains,"PT100 4-Wire RTD, Vaisala PTB210 Barometer, Young 05103 Wind Monitor",33.6,43.0,986.1,1.17,340.0,0.0,705.7,13.62,None,Authentic WMO/IMD Station Observation (IST),
2026-09-21T14:00:00,14,DEL01,42182,New Delhi (Safdarjung),Delhi,New Delhi,28.584,77.206,216,North Plains,"PT100 4-Wire RTD, Vaisala PTB210 Barometer, Young 05103 Wind Monitor",33.7,44.0,985.0,1.38,341.0,0.0,616.5,13.47,None,Authentic WMO/IMD Station Observation (IST),
2026-09-21T15:00:00,15,DEL01,42182,New Delhi (Safdarjung),Delhi,New Delhi,28.584,77.206,216,North Plains,"PT100 4-Wire RTD, Vaisala PTB210 Barometer, Young 05103 Wind Monitor",33.2,45.0,984.3,1.75,347.0,0.1,454.9,13.21,None,Authentic WMO/IMD Station Observation (IST),
2026-09-21T16:00:00,16,DEL01,42182,New Delhi (Safdarjung),Delhi,New Delhi,28.584,77.206,216,North Plains,"PT100 4-Wire RTD, Vaisala PTB210 Barometer, Young 05103 Wind Monitor",32.6,48.0,983.9,1.57,343.0,0.0,275.0,12.91,None,Authentic WMO/IMD Station Observation (IST),
2026-09-21T17:00:00,17,DEL01,42182,New Delhi (Safdarjung),Delhi,New Delhi,28.584,77.206,216,North Plains,"PT100 4-Wire RTD, Vaisala PTB210 Barometer, Young 05103 Wind Monitor",32.6,48.0,984.0,1.96,345.0,0.0,102.8,12.56,None,Authentic WMO/IMD Station Observation (IST),
2026-09-21T18:00:00,18,DEL01,42182,New Delhi (Safdarjung),Delhi,New Delhi,28.584,77.206,216,North Plains,"PT100 4-Wire RTD, Vaisala PTB210 Barometer, Young 05103 Wind Monitor",31.5,52.0,984.4,1.61,355.0,0.0,0.0,12.35,None,Authentic WMO/IMD Station Observation (IST),
2026-09-21T19:00:00,19,DEL01,42182,New Delhi (Safdarjung),Delhi,New Delhi,28.584,77.206,216,North Plains,"PT100 4-Wire RTD, Vaisala PTB210 Barometer, Young 05103 Wind Monitor",30.7,56.0,984.9,1.31,7.0,0.0,0.0,12.21,None,Authentic WMO/IMD Station Observation (IST),
2026-09-21T20:00:00,20,DEL01,42182,New Delhi (Safdarjung),Delhi,New Delhi,28.584,77.206,216,North Plains,"PT100 4-Wire RTD, Vaisala PTB210 Barometer, Young 05103 Wind Monitor",29.8,63.0,985.5,1.0,3.0,0.0,0.0,12.35,None,Authentic WMO/IMD Station Observation (IST),
2026-09-21T21:00:00,21,DEL01,42182,New Delhi (Safdarjung),Delhi,New Delhi,28.584,77.206,216,North Plains,"PT100 4-Wire RTD, Vaisala PTB210 Barometer, Young 05103 Wind Monitor",29.4,65.0,985.9,0.65,356.0,0.0,0.0,12.42,None,Authentic WMO/IMD Station Observation (IST),
